кол-во периодов,угол[градусы],Ток[A],Hапряжение[кВ],групповая скорость,добротность (периода),входная мощность[Вт],output amp[W], output power (cathode)[W], output power (collector) [W], delta, efficiency, shifted frequency
28,291.214,0.17,20,-0.199817,735,0,    1.5797e-005,        16.3552,        12.5674,     -0.0276973,    -0.00481034,         90.639
28,291.214,0.1825,20,-0.199817,735,0,   2.29829e-005,        34.6192,        26.6016,      -0.029077,    -0.00948473,        90.4622
28,291.214,0.195,20,-0.199817,735,0,   2.63405e-005,        45.4731,        34.9417,     -0.0300431,     -0.0116598,        90.3384
28,291.214,0.2075,20,-0.199817,735,0,   2.92836e-005,        56.2023,        43.1861,     -0.0309117,     -0.0135427,        90.2271
28,291.214,0.22,20,-0.199817,735,0,   3.19259e-005,        66.8025,        51.3313,     -0.0316981,     -0.0151824,        90.1263
28,291.214,0.2325,20,-0.199817,735,0,   3.43368e-005,        77.2726,        59.3766,     -0.0324145,     -0.0166178,        90.0345
28,291.214,0.245,20,-0.199817,735,0,   3.65622e-005,        87.6134,        67.3225,      -0.033071,     -0.0178803,        89.9504
28,291.214,0.2575,20,-0.199817,735,0,   3.86346e-005,        97.8272,        75.1708,     -0.0336759,     -0.0189956,        89.8729
28,291.214,0.27,20,-0.199817,735,0,   4.05781e-005,        107.917,        82.9238,      -0.034236,     -0.0199846,        89.8011
28,291.214,0.2825,20,-0.199817,735,0,    4.2411e-005,        117.886,        90.5841,     -0.0347572,     -0.0208648,        89.7343
28,291.214,0.295,20,-0.199817,735,0,   4.41477e-005,        127.738,        98.1547,     -0.0352442,     -0.0216506,        89.6719
28,291.214,0.3075,20,-0.199817,735,0,   4.57998e-005,        137.478,        105.639,     -0.0357011,     -0.0223541,        89.6133
28,291.214,0.32,20,-0.199817,735,0,   4.73768e-005,        147.109,        113.039,     -0.0361316,     -0.0229857,        89.5582
28,291.214,0.3325,20,-0.199817,735,0,   4.88867e-005,        156.634,        120.359,     -0.0365385,      -0.023554,         89.506
28,291.214,0.345,20,-0.199817,735,0,    5.0336e-005,        166.059,        127.601,     -0.0369244,     -0.0240666,        89.4566
28,291.214,0.3575,20,-0.199817,735,0,   5.17303e-005,        175.387,        134.768,     -0.0372917,     -0.0245296,        89.4095
28,291.214,0.37,20,-0.199817,735,0,   5.30747e-005,        184.621,        141.863,     -0.0376422,     -0.0249488,        89.3646
28,291.214,0.3825,20,-0.199817,735,0,   5.43732e-005,        193.765,         148.89,     -0.0379776,     -0.0253288,        89.3216
28,291.214,0.395,20,-0.199817,735,0,   5.56295e-005,        202.823,         155.85,     -0.0382994,     -0.0256738,        89.2804
